top	sub
1404.5963	1407.3056
hep-ph/9710473	1202.1503
1105.5121	1202.1503
nucl-th/0304013	hep-ph/0404125
0911.0802	1108.1849
1708.09194	1803.11502
hep-ph/0211335	1011.5564
1705.07878	1710.09854
1608.06879	1710.09854
0706.1522	0710.5795
1009.4850	1406.1441
1705.00263	1808.02431
1605.06298	1808.02431
1806.11568	1810.04564
hep-ph/0312221	0802.3109
1308.5605	1601.07461
1502.00925	1601.07461
1604.01639	1705.02353
1108.4060	1705.02353
1311.6147	1310.6642
hep-ph/0102185	1405.7770
1606.03498	1803.11182
0711.4620	1608.04836
1511.06161	1608.04836
1602.00112	1608.04836
1201.1289	1608.04836
quant-ph/0301001	0906.2187
quant-ph/0608024	0906.2187
hep-ph/9905241	hep-ph/0404270
hep-ph/0301094	hep-lat/0410048
1307.7134	1309.7053
hep-th/0005049	1309.7053
hep-th/0206152	1309.7053
0803.2360	0912.4221
1710.05756	1808.02640
math/0405061	1310.5120
1401.0825	1708.04644
1406.3542	1708.04644
hep-th/0305132	1712.10300
1010.0245	1104.5548
1103.2771	1104.5548
1203.2947	1608.02708
hep-th/9707189	hep-th/0304088
hep-th/9506126	hep-th/9908193
hep-th/9901009	hep-th/9908193
hep-th/9706110	hep-th/9908193
hep-th/0307042	0710.1991
hep-th/0609044	0710.1991
0907.1846	1408.1105
hep-th/9911230	1408.1105
1008.5023	1408.1105
0905.3903	1308.2209
0801.1826	1308.2209
hep-ph/0202258	hep-ph/0210053
0806.0758	1104.1922
0712.1937	1002.2830
0706.1768	1002.2830
hep-ph/0008223	1002.2830
hep-th/0203265	1002.2830
hep-th/0307042	0805.4407
0712.2743	0805.4407
0710.0692	0811.3658
1403.4427	1409.7090
1310.1091	1403.4943
0803.4121	1712.00173
1309.3090	1610.08521
1211.5663	1610.05623
hep-th/0501191	1205.6738
1304.0599	1305.2701
cond-mat/0107271	cond-mat/0111478
1011.2783	1305.7052
math-ph/0606057	math-ph/0610032
1206.4484	1301.5145
astro-ph/0703741	0905.0501
astro-ph/0302031	0905.0501
1408.1698	1312.3622
0812.4168	1506.04517
hep-lat/0607017	1612.03384
1212.5226	1303.3530
1009.1692	1106.1069
1607.03504	1612.09587
1408.3835	1612.09587
1110.2070	1706.01835
hep-ph/0204286	hep-ph/0306265
hep-th/0201227	1803.10755
hep-th/9812082	1109.3706
hep-th/0609109	1109.3706
hep-th/9712251	1109.3706
1801.01120	1803.07555
hep-th/0109174	1710.08631
0801.1294	1305.0018
1210.7114	1810.07704
1403.8048	1810.07704
hep-ph/0103125	hep-ph/0308036
hep-th/0208071	hep-ph/0308036
hep-th/0502149	hep-th/0610257
hep-th/0506203	hep-th/0610257
1312.2285	1502.04745
1410.4844	1502.04745
1501.04644	1502.04745
hep-ph/0109140	1602.07864
hep-ph/0108170	hep-ph/0212348
hep-ph/0103125	hep-ph/0212348
hep-th/0208071	hep-ph/0212348
hep-th/0003004	1101.5370
1104.4787	1104.4685
hep-th/9910092	hep-th/0404122
hep-th/0008075	hep-th/0404122
1106.2822	1206.6886
0812.4656	1005.4469
1611.05377	1711.00146
hep-th/0410155	0802.1779
hep-th/0209114	0802.1779
hep-th/0611086	1412.3108
1008.2958	1412.3108
1008.3101	1412.3108
hep-th/0702032	1412.3108
hep-th/0403047	1412.3108
0807.3196	1412.3108
0807.3228	1412.3108
hep-ph/0408344	1412.3108
gr-qc/0602110	1101.5804
gr-qc/0402018	1101.5804
hep-ph/9805473	hep-ph/9809426
1303.3548	1605.04096
math/0407299	0704.1503
1708.01530	1802.09216
1201.5305	1306.1534
1305.1313	1306.1534
1611.04927	1708.07148
gr-qc/0002095	gr-qc/0110034
hep-th/0003188	gr-qc/0110034
gr-qc/0005126	gr-qc/0110034
hep-ph/0204286	hep-ph/0212038
0904.4112	1809.03806
1111.3031	1606.08956
nucl-th/0301090	hep-ph/0512104
hep-ph/0202037	hep-ph/0512104
hep-ph/0508197	hep-ph/0512104
nucl-th/0412033	hep-ph/0512104
0710.3429	0803.3085
0708.2865	0803.3085
hep-th/0403001	0803.3085
hep-th/0403203	0803.3085
1310.5741	1512.06861
1105.2854	1509.01584
astro-ph/0112372	1509.01584
1008.5023	1704.07720
1607.01320	1806.03585
hep-ph/9805473	1712.04901
1609.02993	1806.06392
hep-lat/9903023	hep-ph/0004052
1401.2199	1312.4266
astro-ph/0003040	astro-ph/0112381
astro-ph/9804062	astro-ph/0112381
1612.02806	1711.02249
nucl-th/0603029	nucl-th/0612102
1511.04491	1707.00471
hep-th/9604179	1503.03908
hep-th/9702202	1503.03908
1503.05192	1811.08895
0909.4064	1003.0056
hep-ph/0507094	hep-ph/0512066
hep-ph/0109140	hep-ph/0512066
1310.3832	1612.07323
0708.1994	1612.07323
1512.06861	1612.07323
1304.2128	1612.07323
0801.1826	1206.5988
hep-ph/9811428	hep-ph/0101068
0812.4165	1309.4752
hep-th/0105276	0807.3324
0803.4446	1204.0539
1707.03713	1810.05560
1311.6471	1810.05560
1309.2806	1312.5777
math-ph/0610056	1101.4149
hep-ph/9802251	hep-ph/9906224
hep-ph/9906209	hep-ph/9906224
1511.07041	1807.05324
hep-ph/0310121	1507.04527
0909.3140	1810.09469
hep-ph/0506042	hep-ph/0702152
hep-th/0403047	1401.6242
1003.6120	1401.6242
1012.5032	1401.6242
0709.2297	1502.07297
hep-th/9808141	hep-th/9811237
1106.2822	1505.07380
1110.6249	1505.07380
astro-ph/9907113	1505.07380
hep-ph/0312027	1505.07380
1410.2534	1501.06860
1704.03925	1807.02588
0709.2359	1009.3571
hep-ph/0405163	1009.3571
hep-ph/0306093	hep-ph/0311361
hep-ph/0508123	1310.3904
math-ph/0604014	1311.7069
1011.3481	1311.7069
hep-th/0009148	hep-th/0103220
1702.05725	1809.03982
hep-th/0501191	gr-qc/0603085
hep-th/0505174	gr-qc/0603085
hep-th/0206251	hep-th/0302168
0802.2255	0810.0971
hep-th/9709029	hep-th/9903050
1512.08514	1612.08088
0903.4734	1612.08088
astro-ph/0205436	1501.06404
hep-lat/9811003	hep-ph/0107124
hep-lat/0012003	hep-ph/0107124
0902.3032	1207.5400
hep-th/0005049	0902.0002
hep-th/0501025	0710.3486
0704.3602	0710.3486
math/0505148	1009.0678
0709.1965	1709.07755
gr-qc/0609031	1709.07755
1707.05423	1802.06489
hep-ph/0506042	1307.5248
hep-ph/0401064	1307.5248
0801.1294	1108.4060
hep-th/9705022	1108.4060
hep-th/0101074	1108.4060
hep-th/9701037	1108.4060
hep-th/9712143	1108.4060
hep-th/9702008	1108.4060
1707.05296	1806.11026
1306.4710	1506.03285
1106.1172	1106.4001
1005.4469	1106.4001
hep-th/0305132	0705.2250
hep-th/0005049	0705.2250
hep-lat/0011085	0710.0204
1005.3035	1808.07871
1211.3494	1808.07871
0803.4121	1112.6189
gr-qc/0601055	1311.4218
0803.1370	1311.4218
1303.3843	1307.2854
0712.1937	1812.11154
hep-ph/0312267	1812.11154
1611.01514	1812.11154
1009.2015	1206.4121
1509.08318	1408.6096
1407.8519	1705.08846
1407.7001	1506.06093
hep-ex/0606016	0706.2804
1506.05056	1511.07379
1104.1122	1511.07379
1205.3842	1511.07379
1111.5488	1511.07379
hep-th/0209114	hep-th/0501229
hep-th/0410155	hep-th/0501229
hep-th/0304064	hep-th/0501229
hep-ph/0107124	hep-ph/0304132
hep-ph/9909356	hep-ph/0304132
hep-ex/9903063	hep-ph/0304132
hep-ph/9912391	hep-ph/0304132
hep-ph/0005069	hep-ph/0304132
hep-ph/0102159	hep-ph/0304132
hep-ex/0205089	hep-ph/0304132
hep-ph/0210027	hep-ph/0304132
hep-th/9903077	hep-th/0101159
